FirFlrSF,SecFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
2515,0,4,1,1219,4,816,484,0,1979,2515,2,32668,70,0,0,3,6,2035,1957,1975,200624
958,620,3,1,403,3,238,240,1,1979,1578,1,9490,79,0,0,7,6,806,1941,1950,133000
979,224,3,1,185,2,524,352,1,1979,1203,3,7015,70,161,0,4,5,709,1950,1950,110000
1156,866,4,1,392,3,768,505,3,1979,2022,2,10005,83,299,117,5,7,1160,1977,1977,192000
525,0,3,1,0,1,525,264,1,1979,1092,2,1680,21,381,0,5,6,525,1971,1971,88000
1022,0,2,1,247,0,310,280,1,1979,1022,2,7200,60,0,30,4,5,1022,1910,2006,85000
1464,0,3,4,929,6,556,754,1,2007,1464,3,15256,49,84,160,5,8,1485,2007,2007,282922
780,595,3,1,0,0,780,544,1,1979,1375,3,9000,50,0,162,6,6,780,1937,1950,141000
2411,2065,4,3,2096,6,300,813,3,1996,4476,4,15623,160,0,78,5,10,2396,1996,1996,745000
551,551,2,1,239,6,312,480,1,2004,1102,3,5105,70,0,60,5,7,551,2004,2004,148800
1352,0,2,1,0,1,1352,466,0,2006,1352,3,4230,47,0,241,5,7,1352,2006,2007,208900
1680,0,4,1,0,1,1680,528,1,1979,1680,2,11500,70,164,0,6,5,1680,1976,1976,136905
1005,978,3,1,694,6,284,490,3,1999,1983,3,10762,70,344,0,5,7,978,1999,1999,225000
900,0,3,3,769,5,95,288,2,1979,900,2,7838,68,0,144,5,5,864,1967,1967,123000
1082,0,2,1,336,3,746,240,1,1979,1082,2,11664,60,206,130,5,6,1082,1948,1950,119200
1314,0,3,1,922,4,392,294,2,1979,1314,2,8400,70,0,0,6,5,1314,1957,1957,145000
1061,862,3,1,674,6,76,564,2,1979,1923,3,10186,107,0,39,5,7,750,1992,1992,190000
990,0,3,1,588,0,402,0,0,0,990,2,8070,60,0,0,5,4,990,1994,1995,123600
1228,0,3,1,0,1,1228,271,1,1979,1228,3,8544,70,0,65,6,5,1228,1966,2006,149350
916,0,4,1,299,5,611,164,1,1979,1826,4,2500,50,0,0,8,7,910,1915,2005,155000
910,0,4,1,507,4,403,720,1,1979,1385,2,8520,71,0,0,4,5,910,1952,1952,166000
848,0,1,4,662,6,186,420,3,2004,848,3,4438,70,169,0,5,6,848,2004,2004,144500
816,0,2,4,104,2,0,516,1,1979,816,2,8472,110,0,0,5,5,816,1963,1963,110000
702,779,3,1,0,1,702,343,3,1979,1481,2,8125,65,0,36,5,6,702,1994,1995,174000
943,933,4,1,442,5,459,540,2,1979,1876,3,9120,76,270,69,6,6,901,1974,1974,185000
916,826,4,1,216,3,700,424,1,1979,1742,3,17671,121,0,169,9,8,916,1882,1986,168000
769,804,3,1,378,6,378,440,1,2000,1573,3,2117,70,216,32,5,6,756,2000,2000,177500
630,0,1,3,131,3,0,0,0,0,630,2,1936,21,0,0,6,4,630,1970,1970,84500
1698,0,3,1,1234,6,464,768,0,2007,1698,4,13286,86,340,64,5,9,1698,2007,2008,320000
